object_annotation_hierarchy2;Type;Sub_type;Value
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Peridiniales>Peridiniaceae;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Peridiniales>Peridiniella group>Peridiniella>Peridiniella catenata;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Peridiniales>Podolampadaceae;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Peridiniales>Podolampadaceae>Podolampas;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Peridiniales>Podolampadaceae>Podolampas>Podolampas bipes;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Peridiniales>Protoperidiniaceae>Protoperidinium;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Peridiniales>Protoperidiniaceae>Protoperidinium>Protoperidinium bipes;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>polar view;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Prorocentrales;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Prorocentrales>Prorocentraceae>Prorocentrum;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Prorocentrales>Prorocentraceae>Prorocentrum>Prorocentrum lima;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Prorocentrales>Prorocentraceae>Prorocentrum>Prorocentrum micans;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Pyrocystales;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Suessiales>1>Suessiaceae>Polarella 01>Polarella glacialis;living;dinoflagellata;15
living>Eukaryota>Harosa>Alveolata>Myzozoa>Holodinophyta>Dinophyceae>Suessiales>Polarella>Polarella glacialis;living;dinoflagellata;15
living>Eukaryota>Harosa>Rhizaria;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Acantharia;living;rhizaria;15
living>Eukaryota>Harosa>Rhizaria>Cercozoa>Chlorarachnea>Chlorarachnida>Partenskyella;living;rhizaria;15
